# Composition shift for excess_demand targeting by housing_type. Representation Ratio = Share among candidates / Population share.
Group,n,Population Share (%),Candidate Share (%),Unweighted Share (%),Difference (pp),Selection Rate (%),Repr. Ratio
Mobile Home,937,5.6,7.8,7.4,0.4,14.0,1.4
Single-Family Detached,11872,63.5,72.6,74.9,-2.3,11.4,1.14
Single-Family Attached,1662,6.0,4.7,7.4,-2.7,7.8,0.78
Apartment (2-4 units),949,7.5,4.7,2.7,2.0,6.3,0.63
Apartment (5+ units),2211,17.5,10.2,7.6,2.6,5.8,0.58
