# Composition shift for high_use targeting by housing_type. Representation Ratio = Share among candidates / Population share.
Group,n,Population Share (%),Candidate Share (%),Unweighted Share (%),Difference (pp),Selection Rate (%),Repr. Ratio
Mobile Home,937,5.6,1.3,1.0,0.3,2.3,0.23
Single-Family Detached,11872,63.5,92.8,93.0,-0.1,14.6,1.46
Single-Family Attached,1662,6.0,3.2,4.7,-1.5,5.4,0.54
Apartment (2-4 units),949,7.5,1.7,0.8,0.9,2.3,0.23
Apartment (5+ units),2211,17.5,0.9,0.6,0.4,0.5,0.05
