,tenure,share_weighted_candidates,share_unweighted_candidates,share_difference,population_share,n_in_group
0,1,84.90034375064623,86.05442176870748,-1.1540780180612558,68.159294171242,12944
1,2,13.703452017935772,12.641723356009072,1.0617286619267006,30.82458979878701,4516
2,3,1.3962042314180079,1.3038548752834467,0.09234935613456119,1.0161160299709826,171
