# Bias = weighted mean(Ŷ − Y). Normalized Bias = Bias / Mean Observed × 100. Sparse high-HDD bins should be interpreted with caution.
HDD Bin,n,Weighted n,Bias (kBTU),MAE (kBTU),Mean Observed (kBTU),Bias (%)
0-1k,1037,10565463,-231,2849,7049,-3.3
1-2k,2023,16960519,-889,4957,13230,-6.7
2-3k,1981,16589511,-2289,8668,23315,-9.8
3-4k,1990,10934692,-3128,10987,29248,-10.7
4-5k,3447,23725013,-3824,12995,38532,-9.9
5-6k,3150,21098234,-6757,17252,51664,-13.1
6-8k,3125,15365852,-8053,19551,58262,-13.8
8k+,872,1888241,-6495,20014,63907,-10.2
