,housing_type,housing_code,n_samples,total_weight,weighted_bias,weighted_mae,weighted_mean_true,bias_pct
0,Mobile home,1,937,6524240.30754184,-1835.4926530076066,6961.464432825777,22410.347146314078,-8.190380278466582
1,Single-family detached,2,11872,74418151.95299229,-5323.187714553731,14790.03194875522,44007.00991854873,-12.096226770249244
2,Single-family attached,3,1662,6993236.9976919,-3463.3814758350113,11735.576871109906,31466.894092748433,-11.006429378211655
3,Apartment (2-4 units),4,949,8738267.59312876,-2640.3502877262636,9098.018960032325,22593.00115305904,-11.686585017363956
4,Apartment (5+ units),5,2211,20465373.37650006,-172.75939805846647,3959.758406039478,9136.18616497516,-1.8909356151340657
