,climate,share_weighted_candidates,share_unweighted_candidates,share_difference,population_share,n_in_group
0,cold,15.225836185030934,18.310657596371883,-3.0848214113409487,13.11759221549751,3125
1,mild,20.627255800030426,20.011337868480723,0.6159179315497028,23.49699044636439,3971
2,moderate,57.98210924940069,53.11791383219955,4.864195417201145,38.26491966165592,6597
3,very_cold,2.1116066206061306,5.498866213151928,-3.387259592545797,1.6119620416600822,872
4,very_mild,4.0531921449318355,3.061224489795918,0.9919676551359173,23.50853563482209,3066
