# H1 Test: Monolithic vs Technology-Split models. Δ = Mono − Split (positive = Split better). Paired t-test p = 0.1725. RMSE improvement = 15.4%. Metrics computed on outer-fold test predictions, weighted by NWEIGHT.
Fold,Mono wRMSE,Split wRMSE,Δ wRMSE,Mono wMAE,Split wMAE,Δ wMAE,Mono wR²,Split wR²,Δ wR²
1,"37,779","25,276","+12,503","26,293","17,108","+9,186",-0.254,0.443,+0.697
2,"26,527","25,596",+930,"16,409","16,194",+215,0.408,0.487,+0.078
3,"33,891","24,939","+8,952","23,093","15,457","+7,635",0.021,0.480,+0.459
4,"25,043","22,664","+2,379","14,859","15,006",-146,0.512,0.546,+0.034
5,"22,382","24,658","-2,276","13,530","15,004","-1,474",0.581,0.508,-0.073
Mean ± SD,"29,124 ± 6,452","24,627 ± 1,152","+4,498","18,837 ± 5,558","15,754 ± 899","+3,083",0.254 ± 0.357,0.493 ± 0.038,+0.239
