# Table 2: Nested CV performance (outer-fold, weighted metrics). wRMSE and wMAE in kBTU. All metrics computed on out-of-sample predictions.
weighted_rmse,weighted_mae,weighted_r2,weighted_wape,weighted_nmae,weighted_bias,n_samples,fold
25444.735026055063,16820.39312802943,0.435289767071545,49.25950846688227,49.25950846688227,-78.86755004079846,3527,0
26276.855697909006,16262.722701019331,0.45891239954184115,46.948603969990224,46.94860396999023,-6233.505539244093,3526,1
24896.097865728494,15383.583414148521,0.48142170338372603,44.9226984287815,44.9226984287815,-10210.57635101456,3526,2
23499.191063643666,15300.919147813298,0.5119260643453478,45.18312270600319,45.18312270600319,-4188.852734969387,3526,3
25777.278538972732,15480.374606798188,0.4624846428041056,44.305689181277444,44.305689181277444,-9318.165785076473,3526,4
25178.832 ± 1064.851,15849.599 ± 664.767,0.470 ± 0.029,46.124 ± 2.009,46.124 ± 2.009,-6005.994 ± 4096.754,3526.200 ± 0.447,Mean ± SD
