# Bias = weighted mean(Ŷ − Y). nMAE = MAE / mean(Y) × 100. All metrics computed on outer-fold predictions with NWEIGHT.
Group,n,Mean Observed (kBTU),Bias (kBTU),MAE (kBTU),Bias (%),nMAE (%)
Owned,12944,41936,-10081,18260,-24.0,43.5
Rented,4516,17596,-360,10387,-2.0,59.0
Occupied without payment,171,35325,-11633,17191,-32.9,48.7
