# Composition shift for high_intensity targeting by housing_type. Representation Ratio = Share among candidates / Population share.
Group,n,Population Share (%),Candidate Share (%),Unweighted Share (%),Difference (pp),Selection Rate (%),Repr. Ratio
Mobile Home,937,5.6,7.0,7.9,-0.9,12.6,1.26
Single-Family Detached,11872,63.5,49.7,55.3,-5.6,7.8,0.78
Single-Family Attached,1662,6.0,4.9,8.7,-3.8,8.2,0.82
Apartment (2-4 units),949,7.5,14.1,9.7,4.5,19.0,1.9
Apartment (5+ units),2211,17.5,24.3,18.4,5.8,13.9,1.39
