# Table 1: Descriptive statistics by technology group. All statistics are weighted using NWEIGHT unless otherwise noted.
Technology Group,n (unweighted),Population Share (%),Mean E_heat (kBTU),Median E_heat (kBTU),Mean E/Area (kBTU/ft²),Mean HDD,Mean Area (ft²),Pre-1980 (%),At Home Daytime (%),Telework (%)
Combustion,11852,63.3,47349,40681,26,4366,2015,58.8,2.8,32.5
Hybrid Ambiguous,2186,13.9,13032,7637,9,2949,1554,38.3,3.4,28.6
Electric Heat Pump,2217,13.8,11302,7408,6,2519,1830,34.0,2.9,25.9
Electric Resistance,1376,9.1,11520,6473,10,3699,1132,53.1,3.1,25.8
